Time,"T","gammaNodes","material","Points:0","Points:1","Points:2"
10.05,1083.9,0,0,2.448,0,0.12499
10.05,1086.8,0,0,2.46,0,0.12499
10.05,1089.7,0,0,2.472,0,0.12499
10.05,1092.7,0,0,2.484,0,0.12499
10.05,1095.6,0,0,2.496,0,0.12499
10.05,1098.6,0,0,2.508,0,0.12499
10.05,1101.6,0,0,2.52,0,0.12499
10.05,1104.6,0,0,2.532,0,0.12499
10.05,1107.6,0,0,2.544,0,0.12499
10.05,1110.6,0,0,2.556,0,0.12499
10.05,1113.7,0,0,2.568,0,0.12499
10.05,1116.8,0,0,2.58,0,0.12499
10.05,1119.8,0,0,2.592,0,0.12499
10.05,1122.9,0,0,2.604,0,0.12499
10.05,1126,0,0,2.616,0,0.12499
10.05,1129.2,0,0,2.628,0,0.12499
10.05,1132.3,0,0,2.64,0,0.12499
10.05,1135.5,0,0,2.652,0,0.12499
10.05,1138.7,0,0,2.664,0,0.12499
10.05,1141.8,0,0,2.676,0,0.12499
10.05,1145.1,0,0,2.688,0,0.12499
10.05,1148.3,0,0,2.7,0,0.12499
10.05,1151.5,0,0,2.712,0,0.12499
10.05,1154.8,0,0,2.724,0,0.12499
10.05,1158.1,0,0,2.736,0,0.12499
10.05,1161.4,0,0,2.748,0,0.12499
10.05,1164.7,0,0,2.76,0,0.12499
10.05,1168,0,0,2.772,0,0.12499
10.05,1171.4,0,0,2.784,0,0.12499
10.05,1174.8,0,0,2.796,0,0.12499
10.05,1178.2,0,0,2.808,0,0.12499
10.05,1181.6,0,0,2.82,0,0.12499
10.05,1185,0,0,2.832,0,0.12499
10.05,1188.4,0,0,2.844,0,0.12499
10.05,1191.9,0,0,2.856,0,0.12499
10.05,1195.4,0,0,2.868,0,0.12499
10.05,1198.9,0,0,2.88,0,0.12499
10.05,1202.5,0,0,2.892,0,0.12499
10.05,1206,0,0,2.904,0,0.12499
10.05,1209.6,0,0,2.916,0,0.12499
10.05,1213.2,0,0,2.928,0,0.12499
10.05,1216.8,0,0,2.94,0,0.12499
10.05,1220.4,0,0,2.952,0,0.12499
10.05,1224.1,0,0,2.964,0,0.12499
10.05,1227.8,0,0,2.976,0,0.12499
10.05,1231.5,0,0,2.988,0,0.12499
10.05,1235.2,0,0,3,0,0.12499
10.05,1238.9,0,0,3.012,0,0.12499
10.05,1242.7,0,0,3.024,0,0.12499
10.05,1246.5,0,0,3.036,0,0.12499
10.05,1250.3,0,0,3.048,0,0.12499
10.05,1254.2,0,0,3.06,0,0.12499
10.05,1258,0,0,3.072,0,0.12499
10.05,1261.9,0,0,3.084,0,0.12499
10.05,1265.8,0,0,3.096,0,0.12499
10.05,1269.8,0,0,3.108,0,0.12499
10.05,1273.7,0,0,3.12,0,0.12499
10.05,1277.7,0,0,3.132,0,0.12499
10.05,1281.7,0,0,3.144,0,0.12499
10.05,1285.8,0,0,3.156,0,0.12499
10.05,1289.9,0,0,3.168,0,0.12499
10.05,1294,0,0,3.18,0,0.12499
10.05,1298.1,0,0,3.192,0,0.12499
10.05,1302.2,0,0,3.204,0,0.12499
10.05,1306.4,0,0,3.216,0,0.12499
10.05,1310.6,0,0,3.228,0,0.12499
10.05,1314.9,0,0,3.24,0,0.12499
10.05,1319.1,0,0,3.252,0,0.12499
10.05,1323.4,0,0,3.264,0,0.12499
10.05,1327.7,0,0,3.276,0,0.12499
10.05,1332.1,0,0,3.288,0,0.12499
10.05,1336.5,0,0,3.3,0,0.12499
10.05,1340.9,0,0,3.312,0,0.12499
10.05,1345.4,0,0,3.324,0,0.12499
10.05,1349.8,0,0,3.336,0,0.12499
10.05,1354.4,0,0,3.348,0,0.12499
10.05,1358.9,0,0,3.36,0,0.12499
10.05,1363.5,0,0,3.372,0,0.12499
10.05,1368.1,0,0,3.384,0,0.12499
10.05,1372.7,0,0,3.396,0,0.12499
10.05,1377.4,0,0,3.408,0,0.12499
10.05,1382.2,0,0,3.42,0,0.12499
10.05,1386.9,0,0,3.432,0,0.12499
10.05,1391.7,0,0,3.444,0,0.12499
10.05,1396.5,0,0,3.456,0,0.12499
10.05,1401.4,0,0,3.468,0,0.12499
10.05,1406.3,0,0,3.48,0,0.12499
10.05,1411.3,0,0,3.492,0,0.12499
10.05,1416.2,0,0,3.504,0,0.12499
10.05,1421.3,0,0,3.516,0,0.12499
10.05,1426.3,0,0,3.528,0,0.12499
10.05,1431.4,0,0,3.54,0,0.12499
10.05,1436.6,0,0,3.552,0,0.12499
10.05,1441.8,0,0,3.564,0,0.12499
10.05,1447,0,0,3.576,0,0.12499
10.05,1452.3,0,0,3.588,0,0.12499
10.05,1457.6,0,0,3.6,0,0.12499
10.05,1463,0,0,3.612,0,0.12499
10.05,1468.4,0,0,3.624,0,0.12499
10.05,1473.9,0,0,3.636,0,0.12499
10.05,1479.4,0,0,3.648,0,0.12499
10.05,1485,0,0,3.66,0,0.12499
10.05,1490.6,0,0,3.672,0,0.12499
10.05,1496.2,0,0,3.684,0,0.12499
10.05,1502,0,0,3.696,0,0.12499
10.05,1507.7,0,0,3.708,0,0.12499
